flash_id,time,lma_base,arq_ka,print_date,dist_1,dist_itp,area,duration,init_alt,init_lat,init_lon,volume,spectrum_width,turbulence,dVRdr,dVRde,mean,weighted_mean,weighted_std,std,vel_dealias
3010,22149,./lightning/LYLOUT_160601_022000_0600.dat.flash.h5,./radar/Ka1160601022149.RAWJYKC.nc,01 June 2016,20875.1710814618,40.3715772567884,260.2906,0.96687096,5957.49,33.05902,-102.41469,975.5269,0.403125,0.103995964,0,-0.013728191,"[20.576711977177176, 0.10341004282236099]","[20.61108542252039, 0.09938684391486576]","[0.10457756137506186, 0.02588450611668405]","[0.2691058955949132, 0.07055853993510193]",-8.024409
14234,22831,./lightning/LYLOUT_160601_022000_0600.dat.flash.h5,./radar/Ka1160601022831.RAWJYRS.nc,01 June 2016,12343.5829568742,8.00259685891869,309.7586,0.7146757,6570.76,32.984753,-102.370316,1746.4685,1.209375,0.2709616,-0.022572147,-0.010910187,"[11.928585723082922, 0.24394245319725835]","[11.901258949981296, 0.2536344840108604]","[0.11781411679318587, 0.02427631966776163]","[0.3973834857097196, 0.11545798732627233]",-14.322046
16929,23854,./lightning/LYLOUT_160601_023000_0600.dat.flash.h5,./radar/Ka1160601023854.RAWJYWY.nc,01 June 2016,12455.861432104,46.0746884609398,203.93108,0.67944163,7771.75,32.987053,-102.360855,1045.0408,1.6125,0.36842343,-0.016929097,-0.050213594,"[11.913709260193079, 0.21329452469944954]","[11.82958499633617, 0.23559561214305888]","[0.3905558764574518, 0.05701964665965477]","[0.6810728386842221, 0.10562912949123955]",-9.548032
8098,24450,./lightning/LYLOUT_160601_024000_0600.dat.flash.h5,./radar/Ka1160601024450.RAWJYZ5.nc,01 June 2016,13542.2169145162,9.80242404408671,480.37393,0.33740962,5672.2,32.977554,-102.2626,2451.1409,0.403125,0.11992412,-0.011286126,-0.010859152,"[13.54221690683993, 0.11992412060499191]","[13.54221690683993, 0.11992412060499191]","[nan, nan]","[0.0, 0.0]",-7.2118106
1644,25035,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025035.RAWJZ1E.nc,01 June 2016,4627.55588711524,10.099473953149,439.3992,0.6246852,5737.3,33.11579,-102.32905,2811.0508,2.6203125,0.5677685,-0.022572173,-0.055476915,"[5.390466343965189, 0.38164071100098745]","[5.330067378910842, 0.41073788463123195]","[0.20548039251302444, 0.039091209764882194]","[0.5246452883063996, 0.09679743074451812]",4.164567
2668,25035,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025035.RAWJZ1E.nc,01 June 2016,755.795203491102,0.335991482769976,54.430935,0.53179246,7727,33.07394,-102.35391,235.48071,2.2171874,0.47210687,-0.050787423,-0.016048921,"[1.4298426025986786, 0.43115711817517877]","[1.4577723600006356, 0.4001513396811883]","[0.1407373472846985, 0.05049728170844143]","[0.5135480607915919, 0.20395315213321796]",4.8755903
6245,25250,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025250.RAWJZ2B.nc,01 June 2016,9281.48373121467,1.26156109285618,219.14073,0.5714138,4710.35,33.01628,-102.34118,1481.2913,3.0738282,0.64191866,0.062073488,0.02270829,"[8.991567587704361, 0.5568958520889282]","[8.98034458049555, 0.5724635867549627]","[0.062112131300420426, 0.11949894536173675]","[0.11462832377652064, 0.21888460344360944]",-0.1015748
7279,25358,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025358.RAWJZ2T.nc,01 June 2016,17554.7410124755,37.0182650006649,764.3846,0.49974394,5026.15,33.015594,-102.33781,3488.4648,0.2015625,0.06825904,-0.011286086,-0.010917995,"[16.368141485519054, 0.09730925709009171]","[16.631744709383312, 0.08235977559300803]","[0.3442628714959857, 0.007014551847712309]","[0.719193202867333, 0.0311273706580866]",-1.1173229
8905,25508,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025508.RAWJZ38.nc,01 June 2016,803.165310791182,0.738953378846827,12.210999,0.1858679,7350.12,33.086407,-102.339035,32.218002,1.7132813,0.37626413,0.016929124,-0.0059532896,"[1.4178366972751497, 0.3862988445907831]","[1.377447044896643, 0.427400022159422]","[0.17227058896005945, 0.04288186149751684]","[0.49990453671076224, 0.12129721185592961]",-2.3362205
10471,25615,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025615.RAWJZ3P.nc,01 June 2016,18150.5168684764,0.033847514355544,1655.0088,1.0821414,4840.17,33.0214,-102.33836,8842.675,0.30234376,0.109720975,-0.011286093,-0.0040074484,"[16.41511039221637, 0.11243218026663128]","[16.455260744987015, 0.10288467062857427]","[0.07014889104655797, 0.008942529546314689]","[0.3197196367418451, 0.042834923171518165]",-1.3204725
