flash_id,time,lma_base,arq_ka,print_date,dist_1,dist_itp,area,duration,init_alt,init_lat,init_lon,volume,spectrum_width,turbulence,dVRdr,dVRde,mean,weighted_mean,weighted_std,std,vel_dealias
3010,22149,./lightning/LYLOUT_160601_022000_0600.dat.flash.h5,./radar/Ka1160601022149.RAWJYKC.nc,01 June 2016,20875.1710814618,40.3715772567884,260.2906,0.96687096,5957.49,33.05902,-102.41469,975.5269,0.32175687,0.083010614,-0.0042624753,-0.008845849,"[20.576711977177176, 0.1016054627086435]","[20.61108542252039, 0.09520365119783131]","[0.10457756137506186, 0.010554864090993002]","[0.2691058955949132, 0.03236933181656587]",-8.738374
14234,22831,./lightning/LYLOUT_160601_022000_0600.dat.flash.h5,./radar/Ka1160601022831.RAWJYRS.nc,01 June 2016,12343.5829568742,8.00259685891869,309.7586,0.7146757,6570.76,32.984753,-102.370316,1746.4685,0.994092,0.22271506,0.011688669,0.010461906,"[11.928585723082922, 0.2586372380747515]","[11.901258949981296, 0.2660864672371078]","[0.11781411679318587, 0.01703360676541758]","[0.3973834857097196, 0.07765063436737775]",-19.749046
16929,23854,./lightning/LYLOUT_160601_023000_0600.dat.flash.h5,./radar/Ka1160601023854.RAWJYWY.nc,01 June 2016,12455.861432104,46.0746884609398,203.93108,0.67944163,7771.75,32.987053,-102.360855,1045.0408,0.8278078,0.18915115,-0.002265377,-0.002308556,"[11.913709260193079, 0.22176157590001822]","[11.82958499633617, 0.1704048315475622]","[0.3905558764574518, 0.05121974916374587]","[0.6810728386842221, 0.13080530203711865]",-13.029536
8098,24450,./lightning/LYLOUT_160601_024000_0600.dat.flash.h5,./radar/Ka1160601024450.RAWJYZ5.nc,01 June 2016,13542.2169145162,9.80242404408671,480.37393,0.33740962,5672.2,32.977554,-102.2626,2451.1409,0.3305246,0.09832848,0.0013682588,0.007561337,"[13.54221690683993, 0.09832847118377686]","[13.54221690683993, 0.09832847118377686]","[nan, nan]","[0.0, 0.0]",-6.4510384
1644,25035,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025035.RAWJZ1E.nc,01 June 2016,4627.55588711524,10.099473953149,439.3992,0.6246852,5737.3,33.11579,-102.32905,2811.0508,2.4987614,0.5414418,-0.004126172,-0.052437242,"[5.390466343965189, 0.3899019254105432]","[5.330067378910842, 0.42429403989623915]","[0.20548039251302444, 0.025995683108596443]","[0.5246452883063996, 0.0810493187271037]",3.6319454
2668,25035,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025035.RAWJZ1E.nc,01 June 2016,755.795203491102,0.335991482769976,54.430935,0.53179246,7727,33.07394,-102.35391,235.48071,2.266238,0.48254657,-0.028804151,-0.020222364,"[1.4298426025986786, 0.36514587075050386]","[1.4577723600006356, 0.46372674030244065]","[0.1407373472846985, 0.052469031230292236]","[0.5135480607915919, 0.2016504941952048]",-0.07450358
7279,25358,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025358.RAWJZ2T.nc,01 June 2016,17554.7410124755,37.0182650006649,764.3846,0.49974394,5026.15,33.015594,-102.33781,3488.4648,0.28681925,0.097131245,-0.001459549,-0.008143569,"[8.991567587704361, 0.46090199798345566]","[8.98034458049555, 0.4636107471962688]","[0.062112131300420426, 0.012265660051751963]","[0.11462832377652064, 0.022298190072777554]",-1.0565072
8905,25508,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025508.RAWJZ38.nc,01 June 2016,803.165310791182,0.738953378846827,12.210999,0.1858679,7350.12,33.086407,-102.339035,32.218002,2.7239137,0.5982086,-0.005311275,-0.02466752,"[16.368141485519054, 0.12478676587343215]","[16.631744709383312, 0.11705446265327828]","[0.3442628714959857, 0.007383547199061801]","[0.719193202867333, 0.019159090205548852]",-5.7398205
11346,25615,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025615.RAWJZ3P.nc,01 June 2016,1913.46791798045,7.1149996290364,177.18896,0.8683817,8197.36,33.084003,-102.34496,1147.6543,1.7308092,0.37870896,0.011374946,-0.0045806216,"[1.4178366972751497, 0.4187321960926056]","[1.377447044896643, 0.45464776440100363]","[0.17227058896005945, 0.04024493824023731]","[0.49990453671076224, 0.10815770621898671]",-6.9038734
11505,25615,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025615.RAWJZ3P.nc,01 June 2016,66.5832441460208,66.583117450149,0,0.001832996,9044.96,33.080597,-102.22631,0,1.0244477,0.26611984,-0.007454069,0.0059633683,"[16.41511039221637, 0.12530367076396942]","[16.455260744987015, 0.12857442230670543]","[0.07014889104655797, 0.0075563306962468536]","[0.3197196367418451, 0.03242667503621711]",-10.143215
12438,25725,./lightning/LYLOUT_160601_025000_0600.dat.flash.h5,./radar/Ka1160601025725.RAWJZ45.nc,01 June 2016,12093.2366566658,0.577179219983875,285.54962,0.6280342,8820.07,33.089283,-102.34061,1093.4932,1.0179557,0.27625045,0.008274692,-0.012778952,"[1.5651205957321406, 0.41787779579559964]","[1.46732981533192, 0.40777259849843545]","[0.14336523628853073, 0.0215693851939392]","[0.46296647117094697, 0.06680143131210853]",-12.365354
40,53029,./lightning/LYLOUT_150704_053000_0600.dat.flash.h5,./radar/Ka2150704053029.RAWHSME.nc,04 July 2015,14055.2333090281,1.03637887610967,105.538124,0.18920887,9217.51,34.460716,-102.14449,425.7245,0.782426,0.16263543,-0.117420144,0.09405249,"[0.06658324422812203, 0.2661038935184479]","[0.06658324422812203, 0.2661038935184479]","[nan, nan]","[0.0, 0.0]",8.126912
288,53141,./lightning/LYLOUT_150704_053000_0600.dat.flash.h5,./radar/Ka2150704053141.RAWHSNG.nc,04 July 2015,5706.34181002703,11.7744093505626,492.75406,1.4841893,6822.03,34.369503,-102.11592,2507.3145,1.0979731,0.23239617,-0.0939827,-0.10149127,"[7.981192521768631, 0.33657536953687667]","[8.67642415034252, 0.32064779221180484]","[0.9200780746585862, 0.04125316917257304]","[3.4102023754987956, 0.13326228217114108]",-11.8537
15,55032,./lightning/LYLOUT_150704_055000_0600.dat.flash.h5,./radar/Ka1150704055032.RAWBBXM.nc,04 July 2015,15295.0737398237,4.22689244439516,681.2048,1.7987587,9011.78,34.422047,-102.08238,3778.43,0.99039316,0.22444159,-0.0012353419,-0.02226943,"[13.054042038821473, 0.23636490958077566]","[12.982386667592367, 0.2544617560411155]","[0.2711514575227658, 0.03406694518077345]","[0.9907484402742703, 0.08487501732707299]",-6.794531
87,55359,./lightning/LYLOUT_150704_055000_0600.dat.flash.h5,./radar/Ka1150704055359.RAWBBYU.nc,04 July 2015,11408.2447430925,3.95624659843361,667.8191,0.6003114,7724.73,34.36323,-102.12813,3757.6562,0.2751045,0.06373392,-0.0009370748,0.0053104856,0,0,0,0,-3.412262
19875,223551,./lightning/LYLOUT_150706_223000_0600.dat.flash.h5,./radar/Ka1150706223551.RAW57XY.nc,06 July 2015,2824.67451886466,75.3244609977965,12.010111,0.3663642,8034.37,33.775475,-101.940254,38.785175,0.77512395,0.20617418,0.008669865,-0.004051793,0,0,0,0,-1.7282145
11149,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,3314.24078103854,2.15729295894289,79.65723,1.1570393,4956.09,33.696465,-101.92051,297.85056,1.2845122,0.30425814,0.008053916,-0.0058927643,"[16.008752384744593, 0.10522289108484983]","[16.032944955120904, 0.08909345189003198]","[0.8870619608469337, 0.03013401301649882]","[1.6734396105565272, 0.06951027923977843]",8.039629
11512,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,3009.70402072717,79.752569720652,6.3345675,0.1982136,9943.9,33.720108,-101.95386,4.0102377,1.565801,0.37923336,-0.00037321472,-0.024795296,"[11.712254698478523, 0.10055173401321683]","[11.702979483492047, 0.10560130304982908]","[0.15148689747466895, 0.024996495730032285]","[0.3759772047882557, 0.05810835821211876]",9.503473
13157,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,5235.85833661969,17.5816647845977,34.59643,0.6750887,14196.6,33.722046,-101.93572,149.63063,1.3633859,0.32214198,0.0060228924,-0.004355741,"[7.075151188577601, 0.2371881604194641]","[7.075185051082182, 0.23710642622206107]","[0.00136481335159911, 0.0014043728145340661]","[0.002672347959274481, 0.0027087530806997875]",-3.4846458
16615,224407,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224407.RAWXX5N.nc,06 July 2015,9493.47309906416,28.1562538828512,140.14517,1.2313081,5112.74,33.638546,-101.93788,581.1818,1.2110053,0.28273538,0.02391721,0.050052207,"[2.824675599561248, 0.20617902278900146]","[2.824675599561248, 0.20617902278900146]","[nan, nan]","[0.0, 0.0]",-5.9213686
19134,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,2738.93827297508,54.9564373036028,15.910487,0.5830693,11319.54,33.734245,-101.90082,57.1931,3.1402729,0.7240864,-0.00084870064,-0.00904558,"[1.5593008144428335, 0.44753237068653107]","[2.1772729087512013, 0.4535913779853124]","[0.7740082073789863, 0.007588888593868745]","[1.1316017704912442, 0.011094972491264343]",6.7031493
19761,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,189.515114180529,47.0805812825456,0,0.00013223899,14601.66,33.73057,-101.926865,0,1.8251338,0.4025951,0.23318204,0.13510893,"[3.38584935150964, 0.28333129414490293]","[3.310893467313052, 0.28413392265513165]","[0.1629944032444739, 0.007370254107137605]","[0.4292139955214022, 0.017533610885758895]",4.190173
20478,224631,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka2150706224631.RAWXX6H.nc,06 July 2015,3265.02224463536,95.6990830186733,16.21639,0.54861236,11559.92,33.72949,-101.890564,63.68234,1.4674819,0.33574122,0.0750023,-0.11816871,"[3.00970217246648, 0.37917131185531616]","[3.00970217246648, 0.37917131185531616]","[nan, nan]","[0.0, 0.0]",2.728599
